127.0.0.1 - - [20/Dec/2019:17:22:43 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Dec/2019:17:22:47 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [20/Dec/2019:17:44:40 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [20/Dec/2019:17:45:41 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [20/Dec/2019:17:46:49 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [20/Dec/2019:17:55:29 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [20/Dec/2019:17:55:31 +0530] "GET /teacher/www.yoursite.com HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Dec/2019:17:55:40 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:02:58 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:10:47 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:10:51 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:11:16 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:11:19 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:14:58 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:25:48 +0530] "GET /Department/dept_home.jsp HTTP/1.1" 200 8035
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:26:58 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:31:11 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:31:56 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:32:11 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:32:28 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:33:26 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:33:43 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:34:12 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:34:37 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:34:56 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:35:11 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:35:35 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:35:49 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:36:23 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:37:24 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:38:38 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:39:33 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 5503
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:40:42 +0530] "GET /Department/botany_lab.jsp HTTP/1.1" 200 9637
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:43:39 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 5512
0:0:0:0:0:0:0:1 - - [20/Dec/2019:18:48:53 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 5516
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:19:46 +0530] "GET /teacher/t1.jsp HTTP/1.1" 200 5512
