127.0.0.1 - - [30/Mar/2020:21:40:19 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:40:21 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4619
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:43:14 +0530] "GET /PROJECT/std_profile.jsp HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:43:14 +0530] "GET /PROJECT/clouds.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:48:30 +0530] "GET /PROJECT/home.jsp HTTP/1.1" 200 14153
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:51:25 +0530] "GET /PROJECT/home.jsp HTTP/1.1" 200 14153
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:51:25 +0530] "GET /PROJECT/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:51:25 +0530] "GET /PROJECT/jagannath%20temple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:54:13 +0530] "GET /PROJECT/home.jsp HTTP/1.1" 200 14153
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:54:13 +0530] "GET /PROJECT/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:54:13 +0530] "GET /PROJECT/jagannath%20temple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:54:29 +0530] "GET /PROJECT/home.jsp HTTP/1.1" 200 14153
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:54:29 +0530] "GET /PROJECT/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:54:29 +0530] "GET /PROJECT/jagannath%20temple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:55:20 +0530] "GET /PROJECT/home.jsp HTTP/1.1" 200 14153
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:55:20 +0530] "GET /PROJECT/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:55:20 +0530] "GET /PROJECT/jagannath%20temple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:55:40 +0530] "GET /PROJECT/home.jsp HTTP/1.1" 200 14157
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:55:40 +0530] "GET /PROJECT/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:55:40 +0530] "GET /PROJECT/jagannath%20temple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:56:00 +0530] "GET /PROJECT/home.jsp HTTP/1.1" 200 14158
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:56:00 +0530] "GET /PROJECT/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:56:00 +0530] "GET /PROJECT/jagannath%20temple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:56:36 +0530] "GET /PROJECT/home.jsp HTTP/1.1" 200 14157
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:56:36 +0530] "GET /PROJECT/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:21:56:36 +0530] "GET /PROJECT/jagannath%20temple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:22:02:49 +0530] "GET /PROJECT/home.jsp HTTP/1.1" 200 14157
0:0:0:0:0:0:0:1 - - [30/Mar/2020:22:02:49 +0530] "GET /PROJECT/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:22:02:49 +0530] "GET /PROJECT/jagannath%20temple.jpg HTTP/1.1" 304 -
